year_census,date_census_start,date_census_end,state_abb,state_name,state_region,state_division,population,median_household_income,census_current_flag
2013,2013-01-01,2013-12-31,IL,Illinois,North Central,East North Central,12848554,56797,FALSE
2013,2013-01-01,2013-12-31,IN,Indiana,North Central,East North Central,6514861,48248,FALSE
2013,2013-01-01,2013-12-31,IA,Iowa,North Central,West North Central,3062553,51843,FALSE
2013,2013-01-01,2013-12-31,KS,Kansas,North Central,West North Central,2868107,51332,FALSE
2013,2013-01-01,2013-12-31,KY,Kentucky,South,East South Central,4361333,43036,FALSE
2013,2013-01-01,2013-12-31,LA,Louisiana,South,West South Central,4567968,44874,FALSE
2013,2013-01-01,2013-12-31,ME,Maine,Northeast,New England,1328320,48453,FALSE
2013,2013-01-01,2013-12-31,MD,Maryland,South,South Atlantic,5834299,73538,FALSE
2013,2013-01-01,2013-12-31,MA,Massachusetts,Northeast,New England,6605058,66866,FALSE
2013,2013-01-01,2013-12-31,MI,Michigan,North Central,East North Central,9886095,48411,FALSE
2013,2013-01-01,2013-12-31,MN,Minnesota,North Central,West North Central,5347740,59836,FALSE
2013,2013-01-01,2013-12-31,MS,Mississippi,South,East South Central,2976872,39031,FALSE
2013,2013-01-01,2013-12-31,MO,Missouri,North Central,West North Central,6007182,47380,FALSE
2013,2013-01-01,2013-12-31,MT,Montana,West,Mountain,998554,46230,FALSE
2013,2013-01-01,2013-12-31,NE,Nebraska,North Central,West North Central,1841625,51672,FALSE
2013,2013-01-01,2013-12-31,NV,Nevada,West,Mountain,2730066,52800,FALSE
2013,2013-01-01,2013-12-31,NH,New Hampshire,Northeast,New England,1319171,64916,FALSE
2013,2013-01-01,2013-12-31,NJ,New Jersey,Northeast,Middle Atlantic,8832406,71629,FALSE
2013,2013-01-01,2013-12-31,NM,New Mexico,West,Mountain,2069706,44927,FALSE
2013,2013-01-01,2013-12-31,NY,New York,Northeast,Middle Atlantic,19487053,58003,FALSE
2013,2013-01-01,2013-12-31,NC,North Carolina,South,South Atlantic,9651380,46334,FALSE
